Job_Role,Required_Skills
UI/UX Designer,"user research, figma, responsive design, wireframing, design systems, prototyping"
DevOps Engineer,"docker, monitoring, jenkins, prometheus, terraform"
Business Analyst,"data analysis, requirement gathering, jira, excel, power bi, sql"
iOS Developer,"swift, swiftui, ios, xcode, core data, firebase, api integration"
Cloud Architect,"ci/cd, kubernetes, cloud security, aws, azure, docker, linux, networking"
Data Analyst,"power bi, sql, pandas, data visualization"
Data Scientist,"seaborn, feature engineering, sql, nlp, numpy"
Business Analyst,"sql, excel, communication, documentation"
AI Engineer,"tensorflow, llms, vector databases, rag, langchain"
Cybersecurity Analyst,"cryptography, vulnerability assessment, linux, siem, penetration testing, soc"
DevOps Engineer,"prometheus, kubernetes, ansible, linux, terraform, bash, docker"
Game Developer,"unreal engine, game physics, c#, 3d graphics, blender, unity, multiplayer networking, c++"
Site Reliability Engineer,"terraform, aws, prometheus, monitoring"
DevOps Engineer,"aws, terraform, monitoring, prometheus, ansible, docker, github actions, linux"
Business Analyst,"sql, data analysis, documentation, requirement gathering, communication, excel"
Database Administrator,"sql, postgresql, backup recovery, oracle"
Frontend Developer,"css, tailwind, html, nextjs, responsive design"
Software Tester,"api testing, bug tracking, manual testing, selenium, jira, test cases, automation testing"
Backend Developer,"mongodb, postgresql, django, express, flask, spring boot"
Data Analyst,"dashboarding, data visualization, excel, tableau, sql, pandas, power bi, statistics"
NLP Engineer,"nlp, text classification, sentiment analysis, huggingface"
Embedded Systems Engineer,"raspberry pi, iot, arduino, c, c++, embedded linux, microcontrollers"
iOS Developer,"api integration, core data, swift, xcode, ios"
Network Engineer,"routing, network security, linux, cisco, tcp/ip, switching"
NLP Engineer,"bert, nlp, sentiment analysis, text classification, huggingface, python, llms"
AI Engineer,"prompt engineering, rag, deep learning, huggingface, vector databases, python, langchain"
Machine Learning Engineer,"model deployment, kubernetes, computer vision, deep learning, mlops"
Machine Learning Engineer,"pytorch, kubernetes, python, deep learning"
DevOps Engineer,"kubernetes, monitoring, prometheus, terraform, aws, jenkins, docker"
AR/VR Developer,"unity, 3d modeling, unreal engine, vr interaction, arcore, c#, arkit"
Cloud Architect,"kubernetes, gcp, terraform, networking, aws, docker, azure, linux"
AI Engineer,"openai api, vector databases, transformers, python, tensorflow, rag"
Database Administrator,"oracle, sql, backup recovery, performance optimization"
Backend Developer,"redis, mongodb, flask, nodejs, rest api"
QA Engineer,"automation testing, cypress, api testing, postman"
Computer Vision Engineer,"object detection, tensorflow, yolo, cnn, deep learning"
UI/UX Designer,"user research, prototyping, responsive design, adobe xd"
Site Reliability Engineer,"monitoring, kubernetes, docker, aws, prometheus, linux"
UI/UX Designer,"user research, wireframing, adobe xd, prototyping, responsive design"
Site Reliability Engineer,"kubernetes, monitoring, prometheus, terraform, linux, docker, incident management"
QA Engineer,"cypress, postman, api testing, performance testing, automation testing, selenium"
QA Engineer,"cypress, performance testing, postman, api testing"
UI/UX Designer,"wireframing, design systems, figma, user research, responsive design, adobe xd, prototyping"
Game Developer,"c#, c++, unreal engine, blender, game physics"
Business Analyst,"requirement gathering, data analysis, sql, jira, excel, power bi, communication, documentation"
Embedded Systems Engineer,"arduino, iot, c++, c, microcontrollers, raspberry pi, embedded linux"
DevOps Engineer,"ansible, jenkins, kubernetes, prometheus, bash, aws"
NLP Engineer,"nlp, sentiment analysis, python, bert, transformers"
Mobile App Developer,"android, api integration, react native, kotlin, flutter"
Game Developer,"multiplayer networking, 3d graphics, unity, c++, game physics, blender, c#, unreal engine"
Network Engineer,"switching, tcp/ip, firewalls, vpn, routing"
NLP Engineer,"huggingface, sentiment analysis, text classification, llms, bert, transformers, python"
iOS Developer,"xcode, core data, ios, swiftui, firebase"
Game Developer,"unity, blender, game physics, 3d graphics, c++, multiplayer networking, c#"
Cloud Architect,"cloud security, ci/cd, azure, aws, networking, linux"
Data Scientist,"scikit-learn, sql, machine learning, nlp, tensorflow, feature engineering, statistics"
Site Reliability Engineer,"aws, incident management, kubernetes, linux"
iOS Developer,"xcode, swiftui, api integration, swift, core data"
Machine Learning Engineer,"fastapi, computer vision, kubernetes, aws, python, model deployment"
Business Analyst,"excel, requirement gathering, sql, data analysis, communication, documentation, power bi, jira"
AI Engineer,"prompt engineering, openai api, tensorflow, vector databases, transformers, nlp, deep learning, rag"
Data Scientist,"nlp, tensorflow, pandas, python, machine learning, scikit-learn"
DevOps Engineer,"kubernetes, terraform, github actions, bash, ansible"
Mobile App Developer,"dart, android, ios, flutter, api integration"
Network Engineer,"firewalls, linux, tcp/ip, network security, switching, vpn, routing, cisco"
Cloud Architect,"gcp, kubernetes, microservices, ci/cd, cloud security"
Android Developer,"material design, sqlite, kotlin, jetpack compose, rest api"
Embedded Systems Engineer,"iot, c++, raspberry pi, embedded linux, microcontrollers, arduino"
Site Reliability Engineer,"monitoring, incident management, docker, linux, kubernetes"
UI/UX Designer,"user research, figma, design systems, prototyping, adobe xd, responsive design, wireframing"
Computer Vision Engineer,"cnn, object detection, yolo, image processing"
QA Engineer,"performance testing, api testing, postman, automation testing, selenium, cypress"
QA Engineer,"postman, cypress, automation testing, performance testing"
Data Analyst,"pandas, data visualization, power bi, excel, dashboarding, sql"
Data Analyst,"pandas, sql, tableau, statistics, dashboarding, excel"
Computer Vision Engineer,"deep learning, object detection, opencv, image processing, python"
AI Engineer,"transformers, python, langchain, rag, tensorflow, llms, huggingface, openai api"
Cloud Architect,"microservices, networking, aws, kubernetes"
iOS Developer,"swiftui, core data, api integration, swift, ios, xcode, firebase"
Full Stack Developer,"django, firebase, nodejs, rest api, tailwind, python"
DevOps Engineer,"linux, jenkins, terraform, github actions"
Backend Developer,"flask, nodejs, python, spring boot"
Site Reliability Engineer,"prometheus, aws, docker, linux, kubernetes, incident management, terraform, monitoring"
Game Developer,"c++, unreal engine, c#, blender"
Data Scientist,"seaborn, pandas, numpy, deep learning, statistics"
UI/UX Designer,"design systems, wireframing, adobe xd, figma, prototyping, user research, responsive design"
Network Engineer,"routing, switching, firewalls, network security, vpn, cisco, linux"
Business Analyst,"excel, power bi, communication, sql, jira, requirement gathering, documentation"
Business Analyst,"documentation, requirement gathering, communication, data analysis, power bi, excel, sql"
iOS Developer,"api integration, xcode, ios, firebase, core data, swift, swiftui"
Game Developer,"blender, multiplayer networking, game physics, c#, c++"
Database Administrator,"oracle, sql, mysql, backup recovery, database tuning, performance optimization, postgresql"
Backend Developer,"rest api, mongodb, redis, spring boot, postgresql"
Data Analyst,"sql, excel, data visualization, statistics, dashboarding, pandas, power bi, tableau"
Computer Vision Engineer,"deep learning, opencv, tensorflow, python, yolo, image processing"
Site Reliability Engineer,"kubernetes, aws, docker, incident management"
Mobile App Developer,"api integration, android, ios, firebase, swift, mobile ui"
DevOps Engineer,"github actions, terraform, docker, jenkins"
Cloud Architect,"terraform, docker, kubernetes, ci/cd"
Cloud Architect,"azure, cloud security, networking, microservices, linux"
AR/VR Developer,"arkit, arcore, 3d modeling, unreal engine, c#, vr interaction"
NLP Engineer,"python, llms, nlp, bert, text classification, huggingface, transformers, sentiment analysis"
DevOps Engineer,"linux, prometheus, jenkins, bash, monitoring"
AR/VR Developer,"unreal engine, vr interaction, arcore, arkit, 3d modeling"
NLP Engineer,"transformers, text classification, sentiment analysis, huggingface, nlp"
Cloud Architect,"linux, terraform, cloud security, ci/cd, kubernetes, networking, docker"
Site Reliability Engineer,"aws, docker, incident management, monitoring, linux"
AR/VR Developer,"unreal engine, vr interaction, 3d modeling, arkit"
Cloud Architect,"linux, aws, terraform, kubernetes, networking, microservices, ci/cd"
AR/VR Developer,"3d modeling, vr interaction, arkit, c#, arcore"
DevOps Engineer,"monitoring, docker, terraform, aws, prometheus, linux, bash, ansible"
Game Developer,"c++, c#, game physics, unity, unreal engine, blender"
Mobile App Developer,"react native, kotlin, api integration, ios, swift, android, firebase, dart"
DevOps Engineer,"kubernetes, terraform, monitoring, github actions, jenkins"
Network Engineer,"routing, linux, tcp/ip, network security, vpn, switching, cisco"
AR/VR Developer,"unreal engine, vr interaction, arkit, c#, 3d modeling, arcore, unity"
Machine Learning Engineer,"aws, tensorflow, computer vision, mlops, deep learning, kubernetes, docker, model deployment"
Cybersecurity Analyst,"incident response, siem, vulnerability assessment, soc, ethical hacking, firewalls, penetration testing, network security"
Software Tester,"api testing, automation testing, bug tracking, selenium, test cases"
Business Analyst,"sql, power bi, requirement gathering, jira"
Network Engineer,"cisco, routing, switching, vpn, firewalls, tcp/ip, linux"
Business Analyst,"sql, data analysis, excel, power bi, documentation, requirement gathering"
AI Engineer,"huggingface, nlp, llms, langchain, tensorflow, vector databases, openai api"
QA Engineer,"cypress, api testing, selenium, postman"
Machine Learning Engineer,"kubernetes, computer vision, tensorflow, fastapi"
Blockchain Developer,"solidity, blockchain security, ethereum, rust, smart contracts, cryptography"
NLP Engineer,"llms, text classification, transformers, huggingface, bert, nlp"
Frontend Developer,"angular, javascript, figma, vue, html, css, nextjs, redux"
Android Developer,"jetpack compose, material design, java, firebase"
Site Reliability Engineer,"terraform, monitoring, docker, linux, aws"
DevOps Engineer,"prometheus, jenkins, linux, docker"
Data Scientist,"numpy, deep learning, matplotlib, scikit-learn, feature engineering, python, nlp"
Computer Vision Engineer,"opencv, yolo, tensorflow, cnn, object detection, deep learning"
Blockchain Developer,"solidity, ethereum, smart contracts, web3, rust, defi"
Frontend Developer,"css, html, tailwind, nextjs, javascript, responsive design"
